mes,c_llm,c_llm_mediana,ep,ep_iid,n_itens,n_dias,d2_media,taxa_d2_sem_sinal,d3_media,taxa_d3_sem_sinal,c_llm_trunc
2011-01,0.5094339622641509,0.5,0.0062013194031373085,0.006220939010028633,212,22,3.3759398496240602,0.37578616352201255,3.061224489795918,0.5408805031446541,0.5094339622641509
2011-02,0.486,0.5,0.008049744666892988,0.0065401982805100775,125,20,3.1944444444444446,0.424,3.0163934426229506,0.512,0.486
2011-03,0.5103626943005182,0.5,0.008853980979334309,0.005458951989849009,193,25,3.2758620689655173,0.39896373056994816,3.026666666666667,0.6113989637305699,0.5103626943005182
2011-04,0.4772727272727273,0.5,0.014184962982730528,0.006261804190658912,209,23,3.232142857142857,0.46411483253588515,3.041095890410959,0.6507177033492823,0.4772727272727273
2011-05,0.5253623188405797,0.5,0.01701461717807736,0.008639713938399405,138,27,3.380281690140845,0.4855072463768116,3.0545454545454547,0.6014492753623188,0.5253623188405797
2011-06,0.5206310679611651,0.5,0.010765766246333313,0.005909607923560329,206,26,3.298076923076923,0.49514563106796117,3.0,0.6747572815533981,0.5206310679611651
2011-07,0.5059523809523809,0.5,0.0077143139078976715,0.006658948034861178,168,23,3.31,0.40476190476190477,3.0126582278481013,0.5297619047619048,0.5059523809523809
2011-08,0.5121951219512195,0.5,0.007243048743097009,0.004814870644060207,205,26,3.284090909090909,0.5707317073170731,2.985294117647059,0.6682926829268293,0.5121951219512195
2011-09,0.498046875,0.5,0.0056620169720770965,0.005869578534067483,256,25,3.366412213740458,0.48828125,2.9775280898876404,0.65234375,0.498046875
2011-10,0.5246305418719212,0.5,0.006467370231901627,0.005242142576037424,203,22,3.4056603773584904,0.47783251231527096,3.037974683544304,0.6108374384236454,0.5246305418719212
2011-11,0.5172872340425532,0.5,0.011012913771606308,0.005006868900439697,188,23,3.4725274725274726,0.5159574468085106,2.985074626865672,0.6436170212765957,0.5172872340425532
2011-12,0.5069444444444444,0.5,0.010565186256289463,0.006659259023348706,180,22,3.4057971014492754,0.6194444444444445,3.06,0.7222222222222222,0.5069444444444444
2012-01,0.53125,0.5,0.013661664823093072,0.006523928162813971,216,24,3.5185185185185186,0.5,2.9692307692307693,0.6990740740740741,0.53125
2012-02,0.5202020202020202,0.5,0.006413146957455222,0.005173976546863068,198,23,3.402439024390244,0.5858585858585859,3.0689655172413794,0.7070707070707071,0.5202020202020202
2012-03,0.5126262626262627,0.5,0.006471243778891427,0.003976554953453776,297,26,3.3908045977011496,0.4158249158249158,2.937007874015748,0.5740740740740741,0.5126262626262627
2012-04,0.5115062761506276,0.5,0.009662397196217762,0.004257081250325711,239,24,3.328125,0.4665271966527197,3.010869565217391,0.6171548117154811,0.5115062761506276
2012-05,0.5083333333333333,0.5,0.004837517896881101,0.003868329128499418,240,27,3.5135135135135136,0.540625,3.1025641025641026,0.678125,0.5083333333333333
2012-06,0.528169014084507,0.5,0.007834301497331513,0.005429114458627253,213,25,3.5697674418604652,0.596244131455399,3.019230769230769,0.755868544600939,0.528169014084507
2012-07,0.5078125,0.5,0.007385567772258138,0.00412239036584739,256,28,3.3870967741935485,0.63671875,3.0163934426229506,0.76171875,0.5078125
2012-08,0.502895752895753,0.5,0.003142212571837491,0.002895752895752899,259,27,3.275,0.6911196911196911,2.9827586206896552,0.7760617760617761,0.502895752895753
2012-09,0.5030864197530864,0.5,0.003435659897161222,0.004246000547256315,243,25,3.2432432432432434,0.6954732510288066,2.9827586206896552,0.7613168724279835,0.5030864197530864
