mes,c_llm,c_llm_mediana,ep,ep_iid,n_itens,n_dias,d2_media,taxa_d2_sem_sinal,d3_media,taxa_d3_sem_sinal,c_llm_trunc
2011-01,0.5058962264150944,0.5,0.0034190381602980315,0.0038993006070926544,212,22,3.218390804597701,0.589622641509434,2.9056603773584904,0.75,0.5058962264150944
2011-02,0.494,0.5,0.007262999244733614,0.005285402905263485,125,20,3.2045454545454546,0.648,2.933333333333333,0.76,0.494
2011-03,0.5025641025641026,0.5,0.012252781661166336,0.005138108333685665,195,25,3.0789473684210527,0.6102564102564103,2.878787878787879,0.8307692307692308,0.5025641025641026
2011-04,0.4868421052631579,0.5,0.014671077177523428,0.005418439897663161,209,23,3.0405405405405403,0.645933014354067,2.84,0.8803827751196173,0.4868421052631579
2011-05,0.5197841726618705,0.5,0.01067359014548668,0.006286580055206913,139,27,3.263157894736842,0.7266187050359713,2.888888888888889,0.8705035971223022,0.5197841726618705
2011-06,0.5169902912621359,0.5,0.01196984576809269,0.005581365898206676,206,26,3.3461538461538463,0.7475728155339806,3.0,0.9611650485436893,0.5169902912621359
2011-07,0.5163690476190477,0.5,0.01102366840246887,0.005640110534708305,168,23,3.2203389830508473,0.6488095238095238,2.9047619047619047,0.875,0.5163690476190477
2011-08,0.5132850241545893,0.5,0.007522775473805192,0.004596586766845337,207,26,3.25531914893617,0.7729468599033816,2.5,0.893719806763285,0.5132850241545893
2011-09,0.5068359375,0.5,0.007103408887242474,0.005936419031341281,256,25,2.979591836734694,0.6171875,2.6818181818181817,0.828125,0.5068359375
2011-10,0.5221674876847291,0.5,0.006303002935455904,0.005576649294077678,203,22,3.3333333333333335,0.6748768472906403,2.857142857142857,0.8620689655172413,0.5221674876847291
2011-11,0.523936170212766,0.5,0.011257427677866985,0.0057001716484889045,188,23,3.6595744680851063,0.75,2.789473684210526,0.898936170212766,0.523936170212766
2011-12,0.5152777777777777,0.5,0.010723152244793822,0.007146350987512414,180,22,3.391304347826087,0.7444444444444445,2.9375,0.9111111111111111,0.5152777777777777
2012-01,0.5525114155251142,0.5,0.013383401318395828,0.0077885726688062765,219,24,3.6338028169014085,0.6757990867579908,2.533333333333333,0.9315068493150684,0.5525114155251142
2012-02,0.5454545454545454,0.5,0.011561028148910224,0.007099307820864049,198,23,3.5576923076923075,0.7373737373737373,2.9130434782608696,0.8838383838383839,0.5454545454545454
2012-03,0.5353535353535354,0.5,0.009808868550030717,0.005845350399191947,297,26,3.2719298245614037,0.6161616161616161,2.685185185185185,0.8181818181818182,0.5353535353535354
2012-04,0.5188284518828452,0.5,0.013033847371639226,0.004762699730040313,239,24,3.3194444444444446,0.698744769874477,2.75,0.8661087866108786,0.5188284518828452
2012-05,0.5238589211618258,0.5,0.006374266001253182,0.005579042244616135,241,27,3.28,0.691908713692946,2.7954545454545454,0.8174273858921162,0.5238589211618258
2012-06,0.5465116279069767,0.5,0.014262656390899667,0.006851553748004618,215,25,3.5,0.7581395348837209,2.9,0.9069767441860465,0.5465116279069767
2012-07,0.5214007782101168,0.5,0.006341500696642677,0.004980957964071994,257,28,3.4390243902439024,0.8404669260700389,3.0,0.9455252918287937,0.5214007782101168
2012-08,0.5067307692307692,0.5,0.0038350280145957607,0.0031677230259422166,260,27,3.303030303030303,0.8730769230769231,2.4285714285714284,0.9730769230769231,0.5067307692307692
2012-09,0.507201646090535,0.5,0.003045813344966196,0.0042253486711846255,243,25,3.1956521739130435,0.8106995884773662,2.6363636363636362,0.9094650205761317,0.507201646090535
2012-10,0.5157657657657657,0.5,0.005002992275237926,0.005656558460607942,222,25,3.2388059701492535,0.6981981981981982,2.789473684210526,0.8288288288288288,0.5157657657657657
2012-11,0.5157232704402516,0.5,0.006763875394795989,0.0057676111264558716,159,22,3.081081081081081,0.7672955974842768,2.5217391304347827,0.8553459119496856,0.5157232704402516
2012-12,0.5081081081081081,0.5,0.00227642328790431,0.005034656151980907,185,22,3.2459016393442623,0.6702702702702703,2.9696969696969697,0.8216216216216217,0.5081081081081081
2013-01,0.5,0.5,0.003057905797396506,0.005049732270292356,172,24,3.0,0.6569767441860465,2.4615384615384617,0.8488372093023255,0.5
2013-02,0.49522292993630573,0.5,0.00884864269080275,0.007310447482301208,157,21,3.015873015873016,0.5987261146496815,2.3333333333333335,0.8280254777070064,0.49522292993630573
2013-03,0.4869109947643979,0.5,0.005422077554046936,0.004817637428407754,191,25,3.0136986301369864,0.6178010471204188,3.0,0.8638743455497382,0.4869109947643979
2013-04,0.501219512195122,0.5,0.008104363906239748,0.00440695051747709,205,26,3.0246913580246915,0.6048780487804878,2.717948717948718,0.8097560975609757,0.501219512195122
