consulta,total,alcance,status,nivel,veiculo,usar
Copom,2238,completo,enumerável,0,O Globo,True
Selic,3856,completo,enumerável,0,O Globo,True
ata do Copom,393,completo,enumerável,0,O Globo,True
política monetária,2883,completo,enumerável,0,O Globo,True
meta de inflação,970,completo,enumerável,0,O Globo,True
Relatório de Inflação,100,completo,enumerável,0,O Globo,True
Banco Central,10000,2023-02-07,alcança a janela,0,O Globo,True
